[rospy.client][INFO] 2025-03-27 15:25:18,689: init_node, name[/sonar_processor_5940_1743063918673], pid[5940]
[xmlrpc][INFO] 2025-03-27 15:25:18,689: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:25:18,689: Started XML-RPC server [http://localhost:42799/]
[rospy.init][INFO] 2025-03-27 15:25:18,689: ROS Slave URI: [http://localhost:42799/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:25:18,689: _ready: http://localhost:42799/
[rospy.registration][INFO] 2025-03-27 15:25:18,690: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:25:18,690: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:25:18,790: registered with master
[rospy.rosout][INFO] 2025-03-27 15:25:18,790: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:25:18,791: connected to core topic /rosout
[rosout][INFO] 2025-03-27 15:25:31,844: Back Left Min: 0.55, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:31,941: Back Left Min: 0.55, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,044: Back Left Min: 1.25, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,141: Back Left Min: 1.25, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,245: Back Left Min: 1.25, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,341: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,445: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,542: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,645: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,742: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,845: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:32,942: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,045: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,142: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,245: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,342: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,445: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,542: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,645: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,743: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,845: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:33,943: Back Left Min: 1.24, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:34,045: Back Left Min: 1.24, Back Right Min: 1.08
